dtk2,modelspec,nsum,sd,lvcnt,bomb,bomblag,klaB,klaBlag,klaK,klaKlag
20Mar99,"(aba exh)(exh osce)",48.75,10.77105,3847,0,,1,,11,
22Mar99,"(exh osce)(aba)",63.81818,10.16734,6894,0,0,1,1,4,11
24Mar99,"(exh aba)(aba hrw)",1225.902,213.3696,12428,1,0,10,1,10,4
26Mar99,"(aba hrw)(osce)",955.8441,77.41973,21199,0,1,4,10,31,10
28Mar99,"(aba hrw)(hrw exh)",910.236,104.2866,52043,8,0,5.5,4,8,31
30Mar99,"(aba hrw)(hrw exh)",397.8074,76.05959,34636,7,8,4,5.5,4,8
01Apr99,"(aba exh)(osce)",736.4368,67.49348,44344,4,7,9,4,12,4
03Apr99,"(hrw exh)(exh osce)",654,593.2419,34380,0,4,2,9,3,12
05Apr99,"(exh aba)(aba osce)",386,132.916,32520,3,0,0,2,0,3
07Apr99,"(aba hrw)(exh)",94.78648,17.96458,6072,4,3,2,0,3,0
09Apr99,"(exh aba)(aba hrw)",129.3322,,6777,0,4,2,2,8,3
11Apr99,"(aba hrw)(hrw exh)",55.59258,13.75748,5118,12,0,1,2,5,8
13Apr99,"(aba hrw)(exh)",123.8566,19.52987,8629,3,12,1,1,3,5
15Apr99,"(hrw aba)(aba osce)",374.3333,236.3726,13775,9,3,1,1,9,3
17Apr99,"(aba osce)(osce hrw)",714.666,576.2979,16158,4,9,2.5,1,13,9
19Apr99,"(exh)(hrw)(osce)",63.41721,9.787576,7752,2,4,3,2.5,6,13
21Apr99,"(aba hrw)(exh)",51.85292,22.7155,2810,3,2,0,3,4,6
23Apr99,"(aba osce)(osce exh)",37.11111,7.398141,1061,2,3,0,0,0,4
25Apr99,"(exh osce)(aba)",78.78787,14.19222,1208,5,2,0,0,0,0
27Apr99,"(aba osce)(hrw)",257.5555,131.3266,3331,10,5,0,0,6,0
29Apr99,"(aba)(exh)(osce)",31.40564,7.29133,8076,4,10,0,0,1,6
01May99,"(exh osce)(osce hrw)",229.75,60.07092,4912,6,4,3,0,6,1
03May99,"(hrw osce)(aba)",233.3333,214.9418,4892,9,6,0,3,11,6
05May99,"(exh aba)(aba osce)",15.66667,,1477,4,9,0,0,3,11
07May99,"(exh hrw)(hrw osce)",161.3333,136.626,5280,7,4,1,0,6,3
09May99,"(aba exh)(hrw)",40.66666,28.03965,5915,18,7,1,1,3,6
11May99,"",14,,2134,16,18,1,1,8,3
13May99,"(exh hrw)(osce)",43.33333,20.64246,60,14,16,0,1,1,8
15May99,"(aba exh)(exh osce)",89.99999,77.66595,45,13,14,1,0,11,1
17May99,"(exh hrw)(hrw osce)",404.3333,368.3078,135,7,13,0,1,6,11
19May99,"(aba osce)(hrw)",23.83441,11.18703,117,7,7,0,0,0,6
21May99,"(aba exh)(exh osce)",51.44443,15.02809,2099,20,7,1,0,1,0
23May99,"(aba)(exh)(osce)",57.78869,51.41687,1414,13,20,0,1,7,1
25May99,"(aba osce)(osce hrw)",350,315.8987,612,24,13,1,0,7,7
27May99,"",4,,519,17,24,20,1,8,7
29May99,"",3,,0,25,17,0,20,49,8
31May99,"(aba exh)(osce)",125.6667,114.3212,0,15,25,2,0,30,49
02Jun99,"",,,0,12,15,1,2,5,30
04Jun99,"",2,,0,20,12,1,1,0,5
06Jun99,"",,,0,22,20,0,1,3,0
08Jun99,"",12,,0,13,22,0,0,1,3
10Jun99,"",1,,0,1,13,0,0,8,1
12Jun99,"(aba exh)(hrw)",3,,0,0,1,0,0,19,8
14Jun99,"",21,,0,0,0,0,0,20,19
16Jun99,"",1.333333,,0,0,0,0,0,21,20
18Jun99,"",2,,0,0,0,0,0,34,21
20Jun99,"",,,0,0,0,1,0,22,34
22Jun99,"",,,0,0,0,0,1,12,22
