id,age,sex,pcode,mcode,dt_kill,dtk2,aba,exh,hrw,osce,weight
1,0,"M",3008,3,01Apr99,01Apr99,1,0,0,0,1
2,-1,"M",11019,11,14Apr99,13Apr99,0,0,0,1,1
3,0,"M",21018,21,28Mar99,28Mar99,1,0,0,0,1
4,-1,"M",11038,11,15Apr99,15Apr99,0,0,0,1,1
5,48,"M",21019,21,26Mar99,26Mar99,0,1,0,1,1
6,57,"F",16040,16,26Mar99,26Mar99,0,1,0,0,1
7,49,"M",16040,16,26Mar99,26Mar99,0,1,0,0,1
8,23,"F",16040,16,26Mar99,26Mar99,0,1,0,0,1
9,61,"M",16040,16,26Mar99,26Mar99,0,1,0,0,1
10,0,"M",2000,2,31Mar99,30Mar99,1,0,0,0,1
11,0,"M",2000,2,31Mar99,30Mar99,1,0,0,0,1
12,0,"M",2000,2,31Mar99,30Mar99,1,0,0,0,1
13,-1,"F",19060,19,22Mar99,22Mar99,1,0,0,1,1
14,19,"U",20079,20,28Mar99,28Mar99,0,1,0,0,1
15,55,"M",20079,20,25Mar99,24Mar99,0,1,0,0,1
16,21,"M",20079,20,25Mar99,24Mar99,0,1,0,0,1
17,-1,"M",2019,2,28Mar99,28Mar99,0,0,0,1,1
18,76,"F",11049,11,01Apr99,01Apr99,0,1,0,0,1
19,56,"M",6029,6,26Mar99,26Mar99,0,1,0,0,1
20,-1,"M",3003,3,22Mar99,22Mar99,1,0,0,1,1
21,50,"F",21006,21,18May99,17May99,0,1,0,0,1
22,-1,"M",4086,4,26Mar99,26Mar99,1,0,0,0,1
23,19,"M",11010,11,30Mar99,30Mar99,0,1,0,0,1
24,50,"M",21006,21,27Apr99,27Apr99,0,1,1,0,1
25,67,"F",25036,25,04Apr99,03Apr99,0,1,0,1,1
26,-1,"M",4085,4,18Apr99,17Apr99,1,0,0,0,1
27,53,"M",21006,21,18May99,17May99,0,1,0,0,1
28,58,"M",25036,25,04Apr99,03Apr99,0,1,0,1,1
29,-1,"M",19060,19,28Mar99,28Mar99,0,0,0,1,1
30,47,"M",3025,3,06Apr99,05Apr99,0,1,0,0,1
31,-1,"M",17030,17,23Mar99,22Mar99,0,0,0,1,1
32,60,"M",25036,25,20Mar99,20Mar99,0,1,0,1,1
33,15,"M",3025,3,06Apr99,05Apr99,0,1,0,0,.333333
33,15,"M",3025,3,06Apr99,05Apr99,0,1,0,0,.333333
