ngrp,lvdate,exdate,mcode,id
1,06May99,22May99,3,1
1,17Mar99,04Apr99,3,2
1,16Apr99,17Apr99,13,3
1,30Mar99,02Apr99,24,4
1,30Mar99,03Apr99,24,5
1,31Mar99,01Apr99,24,6
1,25Mar99,25Mar99,16,7
1,25Mar99,25Mar99,16,8
1,25Mar99,03Apr99,16,9
1,25Mar99,31Mar99,16,10
1,01Apr99,02Apr99,4,11
1,01Apr99,06Apr99,4,12
1,01Apr99,08Apr99,4,13
1,02Apr99,02Apr99,4,14
1,01Apr99,02Apr99,4,15
520,02May99,22May99,18,16
1,29May99,02Jun99,10,17
1,02Apr99,03Apr99,2,18
500,02Apr99,30May99,24,19
1,28Mar99,13Apr99,24,20
500,02Apr99,30May99,24,21
1,01Apr99,09May99,21,22
1,17May99,05Jun99,28,23
1,27Mar99,27Mar99,16,24
1,30Mar99,05Apr99,1,25
1,03Apr99,07Apr99,24,26
1,03Apr99,06Apr99,24,27
1,04Apr99,04Apr99,2,28
1,28Mar99,01Apr99,2,29
1,05Apr99,05Apr99,24,30
1,20Aug98,02Apr99,24,31
1,02Apr99,09Apr99,8,32
1,21May99,21May99,12,33
1,04Jun99,04Jun99,16,34
1,01Apr99,13Apr99,2,35
1,04Apr99,07Apr99,2,36
1,02Jun99,02Jun99,26,37
1,28Mar99,22Apr99,21,38
1,28Mar99,25May99,21,39
100,27Mar99,25Apr99,21,40
1,27Mar99,15Apr99,21,41
1,07Apr99,13Apr99,8,42
57,02May99,22May99,11,43
1,01Apr99,06Apr99,8,44
1,11Apr99,17Apr99,15,45
1,08Apr99,10Apr99,9,46
1,10Apr99,03May99,11,47
1,17Apr99,19Apr99,11,48
22,13Apr99,16Apr99,11,49
1,30Mar99,15Apr99,11,50
25,15Apr99,15Apr99,11,51
1,25Mar99,19Apr99,11,52
1,23Mar99,15Apr99,11,53
1,16Apr99,17Apr99,11,54
1,15Apr99,10May99,11,55
1,03Apr99,22May99,11,56
1,31Mar99,01Apr99,20,57
1,04Apr99,10Apr99,19,58
1,28Mar99,02May99,24,59
1,29Mar99,30Mar99,13,60
1,02Apr99,17Apr99,13,61
1,16Apr99,16Apr99,13,62
1,27Mar99,30Mar99,20,63
1,28Mar99,30Mar99,20,64
1,29Mar99,01Apr99,16,65
1,29Mar99,01Apr99,16,66
1,01Apr99,05Apr99,16,67
1,14Apr99,17Apr99,11,68
1,27Mar99,15Apr99,11,69
1,27Mar99,15Apr99,11,70
16,11Apr99,03May99,11,71
1,16Apr99,17Apr99,11,72
1,01Jun99,06Jun99,11,73
1,01Apr99,30May99,11,74
1,01Apr99,30May99,11,75
1,04Apr99,08Apr99,24,76
1,22Mar99,01Apr99,16,77
20,25Apr99,09May99,15,78
1,15Jul98,17Apr99,16,79
1,27Mar99,27Mar99,17,80
1,23Aug98,01May99,22,81
1,03Apr99,04Apr99,1,82
1,02Jun99,02Jun99,21,83
1,23May99,23May99,20,84
1,26May99,04Jun99,20,85
1,26May99,26May99,20,86
1,01May99,01May99,20,87
1,01May99,01May99,20,88
1,24Apr99,27May99,20,89
1,13Apr99,13Apr99,20,90
1,23May99,23May99,20,91
1,15Aug98,15Apr99,18,92
1,28Mar99,21May99,20,93
1,10Apr98,10Apr99,16,94
1,03May99,22May99,1,95
1,28Mar99,10Apr99,1,96
1,28Feb99,06Mar99,21,97
1,05Apr99,05Apr99,24,98
1,02Jun99,02Jun99,24,99
1,02Jun99,02Jun99,24,100
1,13Apr99,13Apr99,11,101
1,27Mar99,27Apr99,2,102
1,01Jun99,03Jun99,27,103
1,15Apr99,20Apr99,11,104
1,15Mar99,13Apr99,9,105
1,14Mar99,10May99,25,106
1,02Jun99,02Jun99,24,107
1,01Apr99,12Apr99,9,108
130,24Mar99,05Jun99,27,109
1,27Mar99,27Mar99,24,110
1,27Mar99,27Mar99,24,111
1,25Mar99,11Apr99,24,112
1,03Apr99,07Apr99,24,113
1,08Apr99,11Apr99,24,114
1,24Apr99,28May99,20,115
40,03May99,22May99,25,116
1,01Apr99,21May99,13,117
1,28Mar99,30Apr99,27,118
1,28Mar99,30Apr99,27,119
1,05Apr99,15Apr99,27,120
1,20Mar99,10Apr99,16,121
1,04May99,04May99,16,122
1,05May99,05May99,16,123
