pcode,lvdate,exdate,ngrp,bos
1047,"01Nov98","01Nov98",5,1
1044,"24Apr99","20Aug98",1,1
2009,"04Apr99","04Apr99",11,0
2019,"07May99","07May99",6,0
2019,"02Apr99","02Apr99",3,0
2019,"03Apr99","07Apr99",7,0
2019,"08May99","08May99",4,0
2019,"02Apr99","02Apr99",4,0
2019,"26Mar99","05Apr99",6,0
2019,"04Apr99","04Apr99",4,0
2019,"04Apr99","04Apr99",1,0
2019,"02Apr99","02Apr99",6,0
2019,"02Apr99","02Apr99",11,0
2019,"02Apr99","02Apr99",14,0
2019,"24May99","24May99",1,1
2019,"02Apr99","02Apr99",14,0
2029,"15Jan99","15Jan99",7,1
2048,"27Apr99","27Apr99",3,0
2019,"18Apr99","18Apr99",4,0
2019,"04Apr99","04Apr99",1,0
2088,"06Apr99","06Apr99",4,0
2019,"05Apr99","05Apr99",11,0
2048,"26Apr99","27Apr99",2,0
2019,"04Apr99","04Apr99",4,0
2019,"02Apr99","02Apr99",7,0
2019,"12May99","12May99",4,1
3037,"28May99","28Jul98",9,1
3037,"28May99","",10,0
4024,"02Apr99","02Apr99",5,1
4024,"","28May99",1,1
4024,"03Apr99","25Mar99",2,1
4024,"30Jan99","30Jan99",2,1
4024,"31Jul98","30Jul98",1,1
4047,"28Mar99","28Mar99",0,0
5013,"16Nov98","16Nov98",4,1
5002,"31Mar99","31Mar99",6,0
5004,"10Mar99","10Mar99",2,1
6063,"","",2,0
6055,"15Apr99","16Apr99",1,0
6055,"","14Apr99",4,0
6011,"18Apr99","19Apr99",0,0
6020,"27Mar99","27Mar99",6,1
6055,"15Apr99","16Apr99",1,0
6015,"26Mar99","26Mar99",3,1
6016,"21Apr99","13Apr99",1,1
6016,"28Mar99","28Mar99",12,0
6055,"15Apr99","16Apr99",6,0
6016,"22Apr99","22Apr99",11,0
6064,"27Mar99","27Mar99",6,1
6014,"01Jan99","01Jan99",1,1
7042,"01Sep98","11Sep98",1,1
8006,"09Jan99","09Jan99",1,1
8002,"28Dec98","28Dec98",1,1
8000,"28Mar99","28Mar99",5,1
8002,"17Feb99","17Feb99",1,1
9009,"19Jun99","19Jun99",10,1
9017,"13Apr99","13Apr99",7,0
9017,"12Apr99","12Apr99",4,0
9017,"12Apr99","12Apr99",7,0
9018,"16Apr99","17Apr99",7,0
9018,"16Apr99","",2,0
9017,"12Apr99","12Apr99",6,0
10119,"29Jul98","31Jul98",4,1
11014,"14Mar90","14Mar90",1,1
11019,"24Apr99","24Apr99",7,1
11019,"15Apr99","15Apr99",24,0
11053,"31Mar99","31Mar99",18,0
11019,"","01Sep98",5,1
11019,"25Mar99","25Mar99",1,1
11019,"","16Apr99",10,0
11019,"27Mar98","27Mar98",1,1
11019,"15Apr99","15Apr99",5,0
11019,"05Apr99","05Apr99",6,1
11019,"15Apr99","",1,0
11019,"28Mar99","28Mar99",1,1
11019,"18Apr99","19Apr99",6,0
11016,"27Mar99","27Mar99",1,1
11042,"11Aug98","11Aug98",5,1
11019,"24Mar99","24Mar99",3,1
11019,"17Apr99","17Apr99",11,1
11019,"29Mar99","29Mar99",4,1
11011,"16Apr99","17Apr99",6,0
11019,"","15Sep98",4,1
11016,"04Apr99","",1,0
