ipls_id,numpers,exdate,pcode
118,7,,-1
1626,15,,11038
1224,7,08May1998,8040
1063,2,13Jul1998,17077
1225,4,16Aug1998,3023
250,9,08Sep1998,8022
850,9,02Mar1999,16015
1567,10,02Mar1999,8045
848,6,02Mar1999,16015
849,6,02Mar1999,16015
1569,11,03Mar1999,16004
1568,10,03Mar1999,16038
1382,12,03Mar1999,19060
1191,1,04Mar1999,11019
1190,5,04Mar1999,11019
906,7,13Mar1999,11019
1609,10,16Mar1999,11002
1614,9,16Mar1999,27066
1613,22,16Mar1999,-1
1610,7,16Mar1999,11019
1477,8,16Mar1999,4022
1612,6,16Mar1999,11019
1611,6,16Mar1999,17093
1498,7,17Mar1999,21050
1686,6,17Mar1999,-1
751,0,18Mar1999,20000
752,5,18Mar1999,20000
753,3,18Mar1999,20000
750,4,18Mar1999,20000
1052,16,19Mar1999,20000
1054,16,19Mar1999,20000
1053,16,19Mar1999,20000
392,5,22Mar1999,11038
391,10,22Mar1999,27023
1096,2,22Mar1999,8057
1095,5,22Mar1999,24002
799,8,22Mar1999,16057
390,4,22Mar1999,27023
98,5,23Mar1999,24070
1247,2,24Mar1999,20080
950,6,24Mar1999,17077
1243,5,24Mar1999,20072
1245,6,24Mar1999,20072
1246,7,24Mar1999,20072
1248,4,24Mar1999,20080
1244,3,24Mar1999,20072
716,5,25Mar1999,27002
195,19,25Mar1999,20000
1061,5,25Mar1999,11019
100,3,25Mar1999,16056
1486,5,25Mar1999,16061
194,19,25Mar1999,20000
584,5,25Mar1999,20000
715,15,25Mar1999,27002
51,17,25Mar1999,24062
321,9,25Mar1999,11019
143,6,25Mar1999,24072
583,8,25Mar1999,20000
517,5,25Mar1999,20000
1318,5,25Mar1999,16007
1241,7,25Mar1999,16007
50,7,25Mar1999,20073
196,13,25Mar1999,20000
1290,4,26Mar1999,16007
589,3,26Mar1999,20041
1263,13,26Mar1999,16039
660,18,26Mar1999,1044
684,6,26Mar1999,20000
724,8,26Mar1999,16042
588,0,26Mar1999,20041
494,18,26Mar1999,1044
586,5,26Mar1999,3011
1833,12,26Mar1999,2004
1830,7,26Mar1999,24070
516,5,26Mar1999,3011
1737,6,26Mar1999,20046
587,8,26Mar1999,20041
685,8,26Mar1999,20000
585,3,26Mar1999,20000
357,4,26Mar1999,17077
1747,5,26Mar1999,20000
658,11,26Mar1999,20000
72,12,26Mar1999,6062
1215,8,27Mar1999,20059
691,3,27Mar1999,17077
1240,6,27Mar1999,20000
1220,7,27Mar1999,20072
890,10,27Mar1999,20003
1581,8,27Mar1999,16041
1831,13,27Mar1999,16035
1264,6,27Mar1999,20059
1302,6,27Mar1999,20072
1457,4,27Mar1999,19060
1301,3,27Mar1999,20072
1736,6,27Mar1999,8006
1319,13,27Mar1999,2088
1022,21,27Mar1999,16057
1210,5,27Mar1999,24070
1808,15,27Mar1999,16035
891,15,27Mar1999,20003
1512,10,27Mar1999,20059
1239,5,27Mar1999,24058
520,5,27Mar1999,8051
1023,21,27Mar1999,16057
1066,4,27Mar1999,24053
1015,5,27Mar1999,20000
1696,7,27Mar1999,21052
521,5,27Mar1999,8051
590,5,27Mar1999,8051
1265,5,27Mar1999,20059
766,7,27Mar1999,20000
1143,5,27Mar1999,20015
1156,6,27Mar1999,24070
1836,4,27Mar1999,19060
1223,8,27Mar1999,20072
734,5,27Mar1999,17077
1216,12,27Mar1999,20059
310,11,27Mar1999,17077
1213,5,27Mar1999,2088
1016,7,27Mar1999,24044
1511,10,27Mar1999,20059
889,8,27Mar1999,20003
665,4,27Mar1999,19060
1211,6,27Mar1999,24072
591,5,27Mar1999,8051
1270,4,27Mar1999,20059
1272,2,27Mar1999,20000
669,7,28Mar1999,20015
948,6,28Mar1999,17077
1114,7,28Mar1999,17044
1257,3,28Mar1999,20027
897,7,28Mar1999,20020
1357,9,28Mar1999,20020
1284,6,28Mar1999,20027
857,7,28Mar1999,17000
1130,4,28Mar1999,20000
883,5,28Mar1999,17077
1362,9,28Mar1999,20003
1103,8,28Mar1999,20013
1533,6,28Mar1999,8038
1338,8,28Mar1999,20000
1105,5,28Mar1999,20020
1117,5,28Mar1999,2088
1465,12,28Mar1999,19060
905,32,28Mar1999,20020
810,8,28Mar1999,20020
1231,2,28Mar1999,17077
452,14,28Mar1999,17077
1277,8,28Mar1999,20003
868,6,28Mar1999,20000
1266,5,28Mar1999,17077
912,8,28Mar1999,20000
1344,9,28Mar1999,20020
813,10,28Mar1999,24072
908,8,28Mar1999,17077
1367,7,28Mar1999,20020
1124,10,28Mar1999,-1
741,8,28Mar1999,8045
1325,10,28Mar1999,24073
1262,6,28Mar1999,17077
