pcode,lvcnt,kSE,lvdt2
1006,339,40.62125,24Mar99
1006,578,85.75126,26Mar99
1006,1085,219.3355,28Mar99
1006,1299,113.8078,30Mar99
1006,2221,169.7492,01Apr99
1006,4291,82.87571,03Apr99
1006,5293,49.99511,05Apr99
1006,39,22.26167,07Apr99
1006,17,3.717581,09Apr99
1006,20,7.688499,11Apr99
1006,55,11.30088,13Apr99
1006,51,19.88083,15Apr99
1006,54,28.83385,17Apr99
1006,79,78.53541,19Apr99
1006,0,0,21Apr99
1006,9,0,23Apr99
1006,11,6.08164,25Apr99
1006,153,9.301402,27Apr99
1006,12,15.45147,29Apr99
1006,0,0,01May99
1006,2,0,03May99
1006,2,0,05May99
1006,30,0,07May99
1006,19,0,09May99
1006,0,0,11May99
1006,0,0,13May99
1006,0,0,15May99
1006,0,0,17May99
1006,0,0,19May99
1006,0,0,21May99
1006,0,0,23May99
1006,0,0,25May99
1006,0,0,27May99
1022,2,0,24Mar99
1022,5,3.233325,26Mar99
1022,7,0,28Mar99
1022,29,8.748534,30Mar99
1022,0,0,01Apr99
1022,0,0,03Apr99
1022,0,0,05Apr99
1022,0,0,07Apr99
1022,0,0,09Apr99
1022,0,0,11Apr99
1022,0,0,13Apr99
1022,0,0,15Apr99
1022,0,0,17Apr99
1022,0,0,19Apr99
1022,0,0,21Apr99
1022,0,0,23Apr99
1022,0,0,25Apr99
1022,0,0,27Apr99
1022,0,0,29Apr99
1022,0,0,01May99
1022,0,0,03May99
1022,0,0,05May99
1022,0,0,07May99
1022,0,0,09May99
1022,0,0,11May99
1022,0,0,13May99
1022,0,0,15May99
1022,0,0,17May99
1022,0,0,19May99
1022,0,0,21May99
1022,0,0,23May99
1022,0,0,25May99
1022,0,0,27May99
1027,3,0,24Mar99
1027,7,0,26Mar99
1027,9,2.362967,28Mar99
1027,18,4.885581,30Mar99
1027,12,2.53868,01Apr99
1027,4,0,03Apr99
1027,2,0,05Apr99
1027,1,0,07Apr99
1027,1,0,09Apr99
1027,0,0,11Apr99
1027,3,1.392981,13Apr99
1027,8,3.552813,15Apr99
1027,1,0,17Apr99
1027,0,0,19Apr99
1027,0,0,21Apr99
1027,2,0,23Apr99
1027,1,0,25Apr99
1027,35,1.980003,27Apr99
1027,0,0,29Apr99
1027,0,0,01May99
1027,0,0,03May99
1027,0,0,05May99
1027,0,0,07May99
1027,0,0,09May99
1027,0,0,11May99
1027,0,0,13May99
1027,0,0,15May99
1027,0,0,17May99
1027,0,0,19May99
1027,0,0,21May99
1027,0,0,23May99
1027,0,0,25May99
1027,0,0,27May99
1031,1,0,24Mar99
1031,2,0,26Mar99
1031,4,2.168526,28Mar99
1031,15,4.885581,30Mar99
1031,0,0,01Apr99
1031,0,0,03Apr99
1031,0,0,05Apr99
1031,0,0,07Apr99
1031,0,0,09Apr99
1031,0,0,11Apr99
1031,0,0,13Apr99
1031,0,0,15Apr99
1031,0,0,17Apr99
1031,0,0,19Apr99
1031,0,0,21Apr99
1031,0,0,23Apr99
1031,0,0,25Apr99
1031,0,0,27Apr99
1031,0,0,29Apr99
1031,0,0,01May99
1031,0,0,03May99
1031,0,0,05May99
1031,0,0,07May99
1031,0,0,09May99
1031,0,0,11May99
1031,0,0,13May99
1031,0,0,15May99
1031,0,0,17May99
1031,0,0,19May99
1031,0,0,21May99
1031,0,0,23May99
1031,0,0,25May99
1031,0,0,27May99
1050,2,0,24Mar99
1050,5,3.233325,26Mar99
1050,7,0,28Mar99
1050,29,8.748534,30Mar99
1050,0,0,01Apr99
1050,0,0,03Apr99
1050,0,0,05Apr99
1050,0,0,07Apr99
1050,0,0,09Apr99
1050,0,0,11Apr99
1050,0,0,13Apr99
1050,0,0,15Apr99
1050,0,0,17Apr99
1050,0,0,19Apr99
1050,0,0,21Apr99
1050,0,0,23Apr99
1050,0,0,25Apr99
1050,0,0,27Apr99
1050,0,0,29Apr99
1050,0,0,01May99
1050,0,0,03May99
1050,0,0,05May99
1050,0,0,07May99
1050,0,0,09May99
1050,0,0,11May99
1050,0,0,13May99
1050,0,0,15May99
1050,0,0,17May99
1050,0,0,19May99
1050,0,0,21May99
1050,0,0,23May99
1050,0,0,25May99
1050,0,0,27May99
2009,0,0,24Mar99
2009,2,0,26Mar99
2009,4,0,28Mar99
2009,7,1.697321,30Mar99
2009,24,3.7375,01Apr99
2009,0,0,03Apr99
2009,0,0,05Apr99
2009,0,0,07Apr99
2009,0,0,09Apr99
2009,0,0,11Apr99
2009,0,0,13Apr99
2009,0,0,15Apr99
2009,0,0,17Apr99
2009,0,0,19Apr99
2009,0,0,21Apr99
2009,0,0,23Apr99
2009,0,0,25Apr99
2009,0,0,27Apr99
2009,0,0,29Apr99
2009,0,0,01May99
2009,0,0,03May99
2009,0,0,05May99
2009,0,0,07May99
2009,0,0,09May99
2009,0,0,11May99
2009,0,0,13May99
2009,0,0,15May99
2009,0,0,17May99
2009,0,0,19May99
2009,0,0,21May99
2009,0,0,23May99
2009,0,0,25May99
2009,0,0,27May99
2010,2,0,24Mar99
2010,5,0,26Mar99
2010,7,4.853052,28Mar99
2010,31,3.044076,30Mar99
2010,0,0,01Apr99
2010,0,0,03Apr99
2010,0,0,05Apr99
2010,0,0,07Apr99
2010,0,0,09Apr99
2010,0,0,11Apr99
2010,0,0,13Apr99
2010,0,0,15Apr99
2010,0,0,17Apr99
2010,0,0,19Apr99
2010,0,0,21Apr99
