ngrp,lvdate,exdate,mcode,int_loc
8,24mar1999,30mar1999,9,2
16,16apr1999,16apr1999,,2
3,13apr1999,13apr1999,,2
6,30mar1999,01apr1999,,2
10,26mar1999,26mar1999,9,2
16,14apr1999,14apr1999,4,2
6,01apr1999,01apr1999,19,2
6,01apr1999,01apr1999,19,2
4,28mar1999,28mar1999,19,2
9,31mar1999,31mar1999,19,2
5,18apr1999,18apr1999,19,2
4,13apr1999,19apr1999,4,2
2,18apr1999,18apr1999,22,2
5,01apr1999,04apr1999,19,2
6,03apr1999,03apr1999,19,2
9,15jan1999,15jan1999,18,2
7,14mar1999,07apr1999,25,2
6,15sep1998,11apr1999,24,2
2,29mar1999,29mar1999,19,2
5,03apr1999,10apr1999,19,2
4,31mar1999,02apr1999,19,2
5,14apr1999,14apr1999,4,2
9,19apr1999,19apr1999,4,2
5,29mar1999,29mar1999,4,2
10,31mar1999,01apr1999,19,2
2,20apr1999,20apr1999,25,2
6,15aug1998,04apr1999,8,2
7,05apr1999,15apr1999,4,2
10,30mar1999,31mar1999,19,2
7,31mar1999,01apr1999,19,2
5,27mar1999,31mar1999,19,2
6,02apr1999,02apr1999,19,2
5,31mar1999,31mar1999,19,2
18,04apr1999,04apr1999,9,2
2,08apr1999,08apr1999,11,2
7,13apr1999,13apr1999,25,2
6,17apr1999,18apr1999,4,2
13,04apr1999,04apr1999,25,2
7,15aug1998,25mar1999,25,2
3,03apr1999,03apr1999,19,2
4,04apr1999,04apr1999,19,2
10,14apr1999,14apr1999,4,2
6,29mar1999,29mar1999,19,2
14,30mar1999,30mar1999,19,2
6,03apr1999,03apr1999,19,2
7,30mar1999,31mar1999,19,2
8,15aug1998,02apr1999,25,2
5,17apr1999,17apr1999,4,2
14,17apr1999,17apr1999,4,2
5,10apr1999,21apr1999,25,2
10,31mar1999,31mar1999,27,2
7,24mar1999,18apr1999,4,2
4,16apr1999,16apr1999,4,2
17,24mar1999,24mar1999,25,2
6,26mar1999,26mar1999,25,2
4,06apr1999,14apr1999,25,2
5,14apr1999,18apr1999,7,2
7,16apr1999,16apr1999,4,2
11,17apr1999,17apr1999,4,2
6,26mar1999,16apr1999,25,2
6,06apr1999,16apr1999,25,2
1,03apr1999,20apr1999,3,2
5,06apr1999,17apr1999,7,2
10,06apr1999,18apr1999,25,2
5,01apr1999,21apr1999,25,2
11,06apr1999,16apr1999,25,2
9,18apr1999,18apr1999,4,2
9,25jan1999,04apr1999,7,2
11,28mar1999,31mar1999,23,2
7,28mar1999,03apr1999,23,2
1,02apr1999,02apr1999,9,2
7,06apr1999,06apr1999,4,2
10,25mar1999,25mar1999,7,2
3,13apr1999,17apr1999,11,2
2,25mar1999,19apr1999,24,2
3,06apr1999,06apr1999,25,2
5,30mar1999,30mar1999,19,2
2,04apr1999,04apr1999,19,2
12,10apr1999,17apr1999,4,2
1,18apr1999,21apr1999,13,2
18,15jun1998,15apr1999,22,2
8,15jun1998,01apr1999,22,2
