kdate,mcode,type,count
20Mar99,18,"k",1
20Mar99,19,"b",1
20Mar99,19,"k",1
20Mar99,19,"k",3
20Mar99,24,"k",1
21Mar99,2,"k",1
21Mar99,19,"k",1
21Mar99,19,"k",1
21Mar99,19,"k",1
21Mar99,19,"k",1
22Mar99,16,"b",1
22Mar99,18,"k",1
22Mar99,19,"k",1
23Mar99,2,"k",1
23Mar99,16,"k",1
24Mar99,6,"k",1
24Mar99,6,"k",1
24Mar99,11,"b",1
24Mar99,16,"k",1
24Mar99,21,"b",1
24Mar99,24,"k",1
24Mar99,27,"b",1
24Mar99,27,"k",1
24Mar99,27,"k",1
25Mar99,6,"k",2
25Mar99,7,"b",1
25Mar99,16,"b",1
25Mar99,16,"b",1
25Mar99,16,"b",1
25Mar99,16,"b",1
25Mar99,20,"k",1
25Mar99,20,"k",1
25Mar99,24,"b",1
25Mar99,27,"b",1
26Mar99,8,"b",1
26Mar99,20,"k",1
26Mar99,20,"k",1
26Mar99,21,"b",1
26Mar99,21,"k",1
26Mar99,21,"k",1
26Mar99,21,"k",1
26Mar99,21,"k",1
26Mar99,21,"k",1
26Mar99,27,"k",1
27Mar99,1,"k",20
27Mar99,1,"k",1
27Mar99,7,"b",1
27Mar99,18,"k",1
27Mar99,19,"k",1
27Mar99,24,"b",1
28Mar99,1,"k",1
28Mar99,1,"k",1
28Mar99,1,"k",1
28Mar99,1,"k",1
28Mar99,16,"b",1
28Mar99,17,"b",1
28Mar99,20,"k",1
28Mar99,27,"b",1
29Mar99,2,"k",1
29Mar99,16,"b",1
29Mar99,16,"b",1
29Mar99,19,"b",.5
29Mar99,19,"k",1
29Mar99,27,"k",1
30Mar99,19,"k",1
30Mar99,20,"b",1
30Mar99,20,"b",1
30Mar99,24,"b",1
31Mar99,18,"b",1
31Mar99,27,"k",1
31Mar99,27,"k",1
31Mar99,27,"k",1
01Apr99,1,"b",1
01Apr99,1,"b",1
01Apr99,3,"k",1
01Apr99,3,"k",1
01Apr99,3,"k",1
01Apr99,3,"k",1
01Apr99,3,"k",1
01Apr99,3,"k",1
01Apr99,16,"b",1
01Apr99,16,"b",1
01Apr99,16,"b",1
01Apr99,16,"k",1
01Apr99,17,"k",1
01Apr99,17,"k",4
01Apr99,19,"b",1
01Apr99,19,"b",1
01Apr99,21,"b",1
02Apr99,24,"b",1
03Apr99,1,"b",1
03Apr99,6,"k",1
03Apr99,17,"b",1
04Apr99,20,"k",1
04Apr99,24,"k",1
07Apr99,19,"k",1
07Apr99,24,"b",1
08Apr99,16,"b",1
08Apr99,17,"k",1
08Apr99,20,"k",1
09Apr99,1,"k",1
09Apr99,3,"k",1
09Apr99,24,"k",1
10Apr99,2,"b",1
10Apr99,6,"b",1
10Apr99,6,"k",1
10Apr99,6,"k",1
10Apr99,6,"k",1
10Apr99,27,"k",1
10Apr99,27,"k",1
11Apr99,6,"b",1
11Apr99,24,"k",1
11Apr99,24,"k",1
11Apr99,24,"k",1
11Apr99,24,"k",1
12Apr99,16,"k",1
13Apr99,1,"k",1
13Apr99,3,"k",1
13Apr99,19,"b",1
14Apr99,20,"k",1
15Apr99,3,"k",3
15Apr99,13,"k",2
15Apr99,13,"k",1
16Apr99,2,"k",1
16Apr99,2,"k",1
16Apr99,2,"k",1
16Apr99,17,"b",1
17Apr99,11,"k",1
17Apr99,17,"b",1
17Apr99,20,"k",1
17Apr99,27,"k",1
18Apr99,3,"k",1
18Apr99,8,"k",1
18Apr99,15,"b",1
18Apr99,16,"b",.5
18Apr99,19,"k",1
18Apr99,19,"k",1
18Apr99,19,"k",4
18Apr99,20,"k",1
18Apr99,20,"k",1
19Apr99,1,"k",1
19Apr99,18,"k",1
19Apr99,18,"k",1
19Apr99,18,"k",1
19Apr99,19,"k",1
19Apr99,24,"k",1
20Apr99,2,"b",1
20Apr99,17,"b",1
20Apr99,24,"b",1
21Apr99,2,"k",1
22Apr99,27,"k",2
22Apr99,27,"k",1
27Apr99,21,"k",1
27Apr99,21,"k",1
28Apr99,24,"k",1
28Apr99,25,"k",1
28Apr99,25,"k",1
28Apr99,25,"k",1
29Apr99,11,"k",1
01May99,6,"b",1
01May99,11,"k",1
01May99,17,"k",1
01May99,24,"k",1
01May99,27,"b",1
01May99,28,"b",1
02May99,11,"k",1
02May99,11,"k",1
02May99,25,"k",1
03May99,11,"k",1
03May99,17,"k",1
03May99,17,"k",1
03May99,17,"k",1
03May99,17,"k",1
03May99,17,"k",1
04May99,1,"k",1
04May99,3,"k",1
04May99,3,"k",1
04May99,3,"k",1
04May99,17,"k",1
06May99,2,"k",1
06May99,2,"k",1
06May99,17,"k",1
07May99,2,"b",1
08May99,17,"k",1
08May99,17,"k",1
08May99,17,"k",1
08May99,17,"k",1
08May99,17,"k",1
08May99,17,"k",1
09May99,23,"k",1
09May99,24,"k",1
10May99,2,"b",1
