bdate	municipality	details
25Mar99	19	"Tanjung, ""Chronology of Crimes and Dishonor of NATO,"" 5 June 1999."
28Mar99	20	"FRY, ""Aide-Memoire on the Use of Inhumane Weapons in the Agression of the North Atlantic Treaty Organization Against the Federal Republic of Yugoslavia, Belgrade, 15 May 1999."
28Mar99	20	"FRY, ""Aide-Memoire on the Use of Inhumane Weapons in the Agression of the North Atlantic Treaty Organization Against the Federal Republic of Yugoslavia, Belgrade, 15 May 1999."
29Mar99	2	"Tanjung, ""Chronology of Crimes and Dishonor of NATO,"" 5 June 1999."
29Mar99	4	"Tanjung, ""Chronology of Crimes and Dishonor of NATO,"" 5 June 1999."
29Mar99	11	"Tanjung, ""Chronology of Crimes and Dishonor of NATO,"" 5 June 1999."
29Mar99	17	"Tanjung, ""Chronology of Crimes and Dishonor of NATO,"" 5 June 1999."
29Mar99	19	"Tanjung, ""Chronology of Crimes and Dishonor of NATO,"" 5 June 1999."
29Mar99	20	"Tanjung, ""Chronology of Crimes and Dishonor of NATO,"" 5 June 1999."
30Mar99	4	"Information provided by the Yugoslav Ministry of Information"
30Mar99	19	"Tanjung, ""Chronology of Crimes and Dishonor of NATO,"" 5 June 1999."
31Mar99	4	"Serbian Unity Congress, Newsbits"
31Mar99	13	"FRY, ""Aide-Memoire on the Use of Inhumane Weapons in the Agression of the North Atlantic Treaty Organization Against the Federal Republic of Yugoslavia, Belgrade, 15 May 1999."
31Mar99	15	"Serbian Unity Congress, Newsbits"
31Mar99	19	"FRY, ""Aide-Memoire on the Use of Inhumane Weapons in the Agression of the North Atlantic Treaty Organization Against the Federal Republic of Yugoslavia, Belgrade, 15 May 1999."
31Mar99	26	"Serbian Unity Congress, Newsbits"
01Apr99	17	"Information provided by the Yugoslav Ministry of Information"
01Apr99	19	"Serbian Unity Congress, Newsbits"
02Apr99	11	"FRY, ""Aide-Memoire on the Use of Inhumane Weapons in the Agression of the North Atlantic Treaty Organization Against the Federal Republic of Yugoslavia, Belgrade, 15 May 1999."
02Apr99	16	"Serbian Unity Congress, Newsbits"
05Apr99	2	"Information provided by the Yugoslav Ministry of Information"
06Apr99	19	"Information provided by the Yugoslav civil defense authorities"
06Apr99	20	"FRY, ""Aide-Memoire on the Use of Inhumane Weapons in the Agression of the North Atlantic Treaty Organization Against the Federal Republic of Yugoslavia, Belgrade, 15 May 1999."
07Apr99	19	"FRY, ""Aide-Memoire on the Use of Inhumane Weapons in the Agression of the North Atlantic Treaty Organization Against the Federal Republic of Yugoslavia, Belgrade, 15 May 1999."
07Apr99	20	"FRY, ""Aide-Memoire on the Use of Inhumane Weapons in the Agression of the North Atlantic Treaty Organization Against the Federal Republic of Yugoslavia, Belgrade, 15 May 1999."
08Apr99	16	"FRY, ""Aide-Memoire on the Use of Inhumane Weapons in the Agression of the North Atlantic Treaty Organization Against the Federal Republic of Yugoslavia, Belgrade, 15 May 1999."
08Apr99	20	"FRY, ""Aide-Memoire on the Use of Inhumane Weapons in the Agression of the North Atlantic Treaty Organization Against the Federal Republic of Yugoslavia, Belgrade, 15 May 1999."
11Apr99	6	"Information provided by the FRY Ministry of Defense"
11Apr99	9	"Information provided by the FRY Ministry of Defense"
11Apr99	17	"Information provided by the FRY Ministry of Defense"
11Apr99	18	"FRY, ""Aide-Memoire on the Use of Inhumane Weapons in the Agression of the North Atlantic Treaty Organization Against the Federal Republic of Yugoslavia, Belgrade, 15 May 1999."
11Apr99	19	"Information provided by the FRY Ministry of Defense"
12Apr99	2	"FRY, ""Aide-Memoire on the Use of Inhumane Weapons in the Agression of the North Atlantic Treaty Organization Against the Federal Republic of Yugoslavia, Belgrade, 15 May 1999."
12Apr99	9	"Information provided by the FRY Ministry of Defense"
12Apr99	19	"Information provided by the FRY Ministry of Defense"
12Apr99	20	"FRY, ""Aide-Memoire on the Use of Inhumane Weapons in the Agression of the North Atlantic Treaty Organization Against the Federal Republic of Yugoslavia, Belgrade, 15 May 1999."
12Apr99	21	"Tanjug, ""NATO raids on Civilians and Industrial Facilities on May Information provided by the FRY Ministry of Defense"
12Apr99	24	"FRY, ""Aide-Memoire on the Use of Inhumane Weapons in the Agression of the North Atlantic Treaty Organization Against the Federal Republic of Yugoslavia, Belgrade, 15 May 1999."
12Apr99	25	"FRY, ""Aide-Memoire on the Use of Inhumane Weapons in the Agression of the North Atlantic Treaty Organization Against the Federal Republic of Yugoslavia, Belgrade, 15 May 1999."
14Apr99	2	"FRY Ministry of Foreign Affairs, ""NATO Crimes Against Civilians,"" 10 May 1999"
14Apr99	19	"Tanjug, ""Chronology of Crimes and Dishonor of NATO,"" 5 June 1999."
14Apr99	19	"Information provided by the FRY Ministry of Defense"
15Apr99	11	"War Against Yugoslavia: Cacak (http://www.inet.co.yu/rat/gradovi/cacak/index.html)."
15Apr99	12	"War Against Yugoslavia: Uzice (http://www.inet.co.yu/rat/gradovi/nis/index.html)."
15Apr99	17	"FRY, ""Aide-Memoire on the Use of Inhumane Weapons in the Agression of the North Atlantic Treaty Organization Against the Federal Republic of Yugoslavia, Belgrade, 15 May 1999."
15Apr99	19	"Tanjug, ""NATO raids on Civilians and Industrial Facilities on May Information provided by the FRY Ministry of Defense"
15Apr99	19	"Information provided by the FRY Ministry of Defense"
16Apr99	4	"Information provided by the FRY Ministry of Defense"
16Apr99	8	"Information provided by the FRY Ministry of Defense"
16Apr99	19	"Information provided by the FRY Ministry of Defense"
16Apr99	25	"FRY, ""Aide-Memoire on the Use of Inhumane Weapons in the Agression of the North Atlantic Treaty Organization Against the Federal Republic of Yugoslavia, Belgrade, 15 May 1999."
