pcode,sortname,serbname,latitude,longitude
1001,BABALOC,Babaloq,42.4869,20.3497
1003,BELAJE,Belaje,42.5767,20.2106
1004,BELEG,Beleg,42.5333,20.315
1005,DASINOVAC,Dašinovac,42.5361,20.3981
1006,DECANI,Deçani,42.5403,20.2917
1007,DOCAJ,Đocaj,42.4856,20.25
1010,DONJIRATIS,Donji Ratiš,42.5194,20.3908
1012,DRENOVAC,,42.5124,20.2708
1013,DUBOVIK,,42.56,20.32
1014,DUBRAVA,Dubrava,42.4928,20.3606
1021,GORNJISTREOC,Gornji Streoc,42.5792,20.2944
1022,GRAMOCELJ,Gramoçelj,42.4822,20.3636
1023,HULJAJ,Huljaj,42.535,20.2628
1024,ISTINIC,Istiniq,42.5589,20.3036
1025,ISTREFAJ,Istrefaj,42.5922,20.3133
1026,JASIC,Jasiq,42.4711,20.365
1027,JUNIK,Junik,42.4775,20.2783
1028,KODRALIJA,Kodralija,42.8958,21.1036
1029,LETOVALISTE,Letovaliste,42.5464,20.2647
1030,LJUBUSA,Ljubuša,42.5642,20.2917
1031,LJUMBARDA,Ljumbarda,42.5481,20.3489
1032,LOCANE,Loqane,42.5256,20.2797
1034,MAZNIK,Maznik,42.5433,20.4497
1035,MIROC,Miroc,42.4756,20.2917
1036,PAPIC,Papiq,42.5556,20.3442
1037,PAPRACANE,Papraqane,42.5542,20.3322
1038,PEPSA,Pepša,42.4833,20.2731
1039,POBRDE,Pobrde,42.5261,20.2619
1040,POZAR,Požar,42.5361,20.3364
1041,PREKOLUKA,Prekoluka,42.5078,20.3392
1042,PRILEP,Prilep,42.5086,20.32
1043,RASTAVICA,Rastavica,42.4942,20.3278
1044,RZNIC,Rzniq,42.5206,20.3497
1046,SAC,Saç,42.4797,20.2903
1047,SAPTELJ,Šaptelj,42.5,20.3789
1048,SLUP,Slup,42.5075,20.2847
1049,SPELOZEZ,Spelozez,42.5694,20.2167
1050,VOKSA,Vokša,42.51,20.2714
1630,MALOKRUSEVO,Malo Kruševo,42.6394,20.5639
2000,DAKOVICA,Đakovica,42.3803,20.4308
2001,BABAJBOKS,Babaj Boks,42.3617,20.3342
2002,BARDONIC,Bardoniq,42.5253,20.4478
2003,BARDOSAN,Bardosan,42.4042,20.5047
2004,BATUSA,Batuša,42.455,20.2622
2005,BEC,Bec,42.4431,20.4494
2007,BISTRAZIN,Bistražin,42.3544,20.5128
2008,BOB,Bob,42.3472,20.3467
2009,BREKOVAC,Brekovac,42.36,20.405
2010,BROVINA,Brovina,42.4306,20.2758
2012,CERET,Çeret,42.34,20.2669
2013,CERIM,Çerim,42.4058,20.4358
2015,CURDINA,Çurdina,42.3075,20.4189
2016,DALASAJ/DLALLASAJ,Dalasaj/Dlallasaj,42.4215,20.315
2017,DAMJANE,Damjane,42.2961,20.5208
2018,DEVA,Deva,42.3478,20.3522
2019,DJAKOVICA,Djakovica,42.3803,20.4308
2020,DOBLIBARE,Doblibare,42.4236,20.5019
2021,DOBRIC,Dobriç,42.4714,20.3789
2022,DOBROS,Dobroš,42.4408,20.3122
2023,DOLJ,Dolj,42.3319,20.4639
2024,DON,Don,42.5003,20.4597
2027,DUJAK,Dujak,42.4561,20.3697
2028,DUZNJE,Dužnje,42.3694,20.3514
2029,EREC,Ereç,42.4644,20.3575
2030,FIRAJA,Firaja,42.25,21.0983
2031,FIRZA,Firza,42.3503,20.4197
2032,FSAT,Fšat,42.3464,20.5358
2033,GODEN,Goden,42.2961,20.4453
2036,GRADIS,Gradiš,42.3519,20.5294
2037,GRCINA,Grçina,42.2953,20.4836
2038,GRGOC,Grgoc,42.5097,20.455
2039,GUSKA,Guska,42.3608,20.3728
2040,JABLANICA,,42.545,20.48
2041,JAHOC,Jahoc,42.3897,20.3867
2042,JANOS,Janoš,42.4514,20.4169
2043,KALAVAJ,Kalavaj,42.4514,20.2719
2044,KOCAJ,Koçaj,42.405,20.3581
2046,KODRALIJA,,42.4643,20.4791
2047,KOLONIJA,Kolonija,42.9228,20.8989
2048,KORENICA,Korenica,42.3719,20.3675
2049,KOSARE,Košare,42.4544,20.2383
2050,KRALJANE,Kraljane,42.5233,20.5133
2051,KUKAJ,Kukaj,42.3397,20.3669
2052,KUSAR,Kusar,42.3281,20.4428
2053,KUSEVAC,Kuševac,42.3417,20.4747
2054,LIPOVAC,Lipovac,42.3128,20.4706
2055,LJUGBUNAR,Ljugbunar,42.4281,20.4356
2057,MARMULE,Marmule,42.3769,20.5108
2058,MAROS,Maroš,42.2969,20.5514
2059,MAZREK,,42.3803,20.4308
2060,MECA,Meqa,42.4575,20.4997
2061,MEJA,Meja,42.3811,20.405
2062,MEJAORIZE,Meja-Orize,42.3903,20.3747
2063,MOGLICA,Moglica,42.3533,20.4392
2064,MOLIC,Moliq,42.4392,20.2708
2065,MORINA,Morina,42.4136,20.2583
2066,NETIC,Netic,42.4739,20.4581
2067,NIVOKAZ,Nivokaz,42.4414,20.2889
2068,OSEKHILJA,Osek Hilja,42.4139,20.4
2070,PACAJ,Pacaj,42.4447,20.32
2071,PALJABARDA,Paljabarda,42.465,20.4072
2072,PETRUSAN,Petrušan,42.3406,20.455
