"prefix"|"actor.id"|"folder.ref.id"|"sex"|"taker.location"|"religiousorg"|"socialorg"|"ostracized"|"otheraffiliation"|"otheraffiliationtext"|"sourcework"|"sourcefamily"|"sourcefriends"|"sourceother"|"sourceothertext"|"economicpoverty"|"economicdestroyed"|"economicacademic"|"economichealth"|"economictrauma"|"economicother"|"economic.other.text"|"neededreparations"|"needededasst"|"neededjob"|"neededrestjustice"|"neededretjustice"|"needed.other"|"needed.other.text"|"done.reconciliation.yes"|"done.reconciliation.no"|"done.reconciliation.na"|"know.perp.yes"|"know.perp.no"|"know.perp.na"|"willing.meet.perp.yes"|"willing.meet.perp.no"|"willing.meet.perp.na"|"howreconciliationff"|"howreconciliationreparations"|"howreconciliationeqrights"|"howreconciliationretjustice"|"howreconciliationpeaceprg"|"how.reconciliation.other.cb"|"howreconciliationothertext"|"govtreconstruction"|"govtjob"|"govtretjustice"|"govtgoodgov"|"govtrestjustice"|"govtforgiveregret"|"govtother"|"trc.mandate"|"trc.reparations"|"trc.ret.justice"|"trc.forgive.forget"|"trc.rest.justice"|"trc.academic.asst"|"trc.other.cb"|"trc.other.text"|"govt.other.cb"|"countyname"
"1"|"B0M"|290863|"B0M-00594"|"FEMALE"|"BOMI"|1|0|0|0|""|0|0|0|1|"BUSINESS"|1|0|0|0|0|0|""|1|0|0|0|0|0|""|0|0|1|0|0|1|1|0|0|1|0|0|0|0|0|""|0|0|0|0|0|0|"ACCEPTANCE OF TRC RECOMMENDATIONS."|1|0|0|0|0|0|0|""|1|"Bomi"
"2"|"B0M"|301579|"B0M-00898"|"MALE"|"BOMI/KLAY/Jawajeh Senjeh"|1|0|0|0|""|1|0|0|0|""|0|1|0|0|0|0|""|1|0|0|0|0|0|""|0|1|0|0|0|1|1|0|0|1|0|0|0|0|0|""|0|0|0|1|0|0|""|0|0|0|0|0|0|0|"JOBS"|0|"Bomi"
"3"|"B0M"|201221|"B0M-00178"|"FEMALE"|"BOMI/KLAY/Gonjeh"|1|0|0|0|""|1|0|0|0|""|1|0|0|0|0|0|""|1|0|0|0|0|0|""|1|0|0|0|1|0|0|1|0|1|0|0|0|0|0|""|0|0|0|1|0|0|""|0|0|0|0|0|0|0|"GIVE COMPENSATION TO VICTIMS."|0|"Bomi"
"4"|"B0N"|211444|"B0N-01592"|"FEMALE"|"BONG/ZOTA/Naama"|1|0|0|0|""|0|0|0|0|""|0|0|0|0|0|0|""|0|0|0|0|0|0|""|0|0|1|0|0|1|0|0|1|0|0|0|0|0|0|""|0|0|0|0|0|0|"REPARATIONS."|0|1|0|0|0|1|0|""|1|"Bong"
"5"|"BAS"|123135|"BAS-00146"|"MALE"|"GRAND BASSA/NUMBER 2"|1|0|0|0|""|0|1|0|0|""|0|0|0|0|0|0|""|0|1|0|0|0|0|""|0|0|1|0|0|1|0|0|1|1|0|0|0|0|0|""|0|1|0|0|0|0|""|0|1|0|0|0|1|0|""|0|"Grand Bassa"
"6"|"BAS"|301963|"BAS-00417"|"FEMALE"|"GRAND BASSA/NUMBER 3/Tarrbar Community"|0|0|0|0|""|1|0|0|0|""|1|0|0|0|0|0|""|1|0|0|0|0|0|""|0|1|0|0|0|1|1|0|0|1|0|0|0|0|0|""|0|0|0|0|0|0|"WOMEN VICTIMS BE TAKEN SPECIAL CARE OF"|1|0|0|0|0|0|0|""|1|"Grand Bassa"
"7"|"BAS"|310698|"BAS-00401"|"FEMALE"|"GRAND BASSA/NUMBER 3/Duah gboraw"|1|0|0|0|""|1|0|0|0|""|0|0|0|1|0|0|""|0|0|0|0|0|0|"MEDICAL ASSISTANCE"|0|0|1|0|0|1|1|0|0|0|0|0|0|1|0|""|0|0|0|1|0|0|""|1|0|0|0|0|0|0|""|0|"Grand Bassa"
"8"|"BAS"|105274|"BAS-00119"|"MALE"|"GRAND BASSA"|0|0|0|0|""|0|1|0|0|""|0|0|1|0|0|0|""|0|1|0|0|0|0|""|0|0|1|0|0|1|0|0|1|0|0|0|1|0|0|""|0|0|1|0|0|0|""|0|0|0|0|1|0|0|""|0|"Grand Bassa"
"9"|"BAS"|92294|"BAS-00052"|"MALE"|"GRAND BASSA/NUMBER 3"|0|0|0|0|""|1|0|0|0|""|1|0|0|0|0|0|""|0|0|1|0|0|0|""|0|0|1|0|0|1|0|0|1|1|0|0|0|0|0|""|0|0|0|0|0|0|""|0|0|0|0|1|0|0|""|0|"Grand Bassa"
"10"|"BAS"|125752|"BAS-00329"|"MALE"|"GRAND BASSA/NUMBER 3/Guahgar"|1|0|0|0|""|0|0|0|1|"N/A"|1|0|0|0|0|0|""|0|0|1|0|0|0|""|0|1|0|0|1|0|0|0|1|1|0|0|0|0|0|""|0|0|0|0|0|0|"SUPPORT THE TRC"|1|0|0|0|0|0|0|""|1|"Grand Bassa"
"11"|"BAS"|34323|"BAS-00063"|"FEMALE"|"GRAND BASSA/ST JOHN RIVER/Gbarzee Town"|1|0|0|0|""|1|0|0|0|""|1|1|0|0|0|0|""|1|1|0|0|0|0|""|0|0|1|0|0|1|0|0|1|0|0|0|0|0|0|""|0|0|0|0|0|1|""|1|0|0|0|0|0|0|""|0|"Grand Bassa"
"12"|"BAS"|278478|"BAS-00746"|"FEMALE"|"GRAND BASSA/NUMBER 2"|1|0|0|0|""|1|0|0|0|""|1|0|0|0|0|0|""|1|0|0|0|0|0|""|0|0|1|0|0|1|1|0|0|1|0|0|0|0|0|""|0|1|0|0|0|0|""|1|0|0|0|0|0|0|""|0|"Grand Bassa"
"13"|"BAS"|21845|"BAS-00870"|"FEMALE"|"GRAND BASSA/NUMBER 3/Wreiken Town"|1|0|0|0|""|1|0|0|0|""|0|1|0|0|0|0|""|1|0|0|0|0|0|""|0|1|0|0|0|1|1|0|0|0|0|0|0|0|0|"PRAYING TO GOD TO GIVE US LASTING PEACE."|0|0|0|0|0|0|""|0|0|0|0|0|0|0|""|0|"Grand Bassa"
"14"|"BAS"|122224|"BAS-00196"|"MALE"|"GRAND BASSA/NUMBER 3/Buchanan"|0|0|0|0|""|1|0|0|0|""|0|0|1|0|0|0|""|0|1|0|0|0|0|""|0|1|0|0|1|0|1|0|0|0|0|0|0|0|0|"THROUGH UNITY"|0|1|0|0|0|0|""|1|0|0|0|0|0|0|""|0|"Grand Bassa"
"15"|"BAS"|80105|"BAS-00555"|"FEMALE"|"GRAND BASSA"|1|0|0|0|""|1|0|0|0|""|1|0|0|1|0|0|""|1|0|0|0|0|0|""|0|1|0|0|0|1|1|0|0|1|0|0|0|0|0|""|0|0|0|1|0|0|""|1|0|0|0|0|0|0|""|0|"Grand Bassa"
"16"|"BAS"|76599|"BAS-00551"|"MALE"|"GRAND BASSA"|1|0|0|0|""|1|0|0|0|""|0|0|1|0|0|0|""|0|0|1|0|0|0|""|0|1|0|1|0|0|0|1|0|1|0|0|0|0|0|""|0|0|0|1|0|0|""|0|0|0|0|0|0|0|"JOB OPPORTUNITIES."|0|"Grand Bassa"
"17"|"BAS"|51211|"BAS-00003"|"MALE"|"GRAND BASSA/NUMBER 3/Buchanan"|1|0|0|0|""|1|0|0|0|""|0|1|0|0|0|0|""|0|0|1|0|0|0|""|0|0|1|0|0|1|0|0|1|0|0|0|0|0|0|"RESTORATIVE JUSTICE"|0|0|0|0|1|0|""|0|0|0|0|1|0|0|""|0|"Grand Bassa"
